userProfileId;displayName;totalKilocalories;activeKilocalories;bmrKilocalories;wellnessKilocalories;burnedKilocalories;consumedKilocalories;remainingKilocalories;totalSteps;netCalorieGoal;totalDistanceMeters;wellnessDistanceMeters;wellnessActiveKilocalories;netRemainingKilocalories;userDailySummaryId;calendarDate;rule;uuid;dailyStepGoal;wellnessStartTimeGmt;wellnessStartTimeLocal;wellnessEndTimeGmt;wellnessEndTimeLocal;durationInMilliseconds;wellnessDescription;highlyActiveSeconds;activeSeconds;sedentarySeconds;sleepingSeconds;includesWellnessData;includesActivityData;includesCalorieConsumedData;privacyProtected;moderateIntensityMinutes;vigorousIntensityMinutes;floorsAscendedInMeters;floorsDescendedInMeters;floorsAscended;floorsDescended;intensityMinutesGoal;userFloorsAscendedGoal;minHeartRate;maxHeartRate;restingHeartRate;lastSevenDaysAvgRestingHeartRate;source;averageStressLevel;maxStressLevel;stressDuration;restStressDuration;activityStressDuration;uncategorizedStressDuration;totalStressDuration;lowStressDuration;mediumStressDuration;highStressDuration;stressPercentage;restStressPercentage;activityStressPercentage;uncategorizedStressPercentage;lowStressPercentage;mediumStressPercentage;highStressPercentage;stressQualifier;measurableAwakeDuration;measurableAsleepDuration;lastSyncTimestampGMT;minAvgHeartRate;maxAvgHeartRate;bodyBatteryChargedValue;bodyBatteryDrainedValue;bodyBatteryHighestValue;bodyBatteryLowestValue;bodyBatteryMostRecentValue;bodyBatteryDuringSleep;bodyBatteryAtWakeTime;bodyBatteryVersion;abnormalHeartRateAlertsCount;averageSpo2;lowestSpo2;latestSpo2;latestSpo2ReadingTimeGmt;latestSpo2ReadingTimeLocal;averageMonitoringEnvironmentAltitude;restingCaloriesFromActivity;avgWakingRespirationValue;highestRespirationValue;lowestRespirationValue;latestRespirationValue;latestRespirationTimeGMT;rule.typeId;rule.typeKey;respirationAlgorithmVersion;hrvValue;sleepHours;stressLevel;steps
120103153;;2593.0;218.0;2375.0;2593.0;;;2593.0;5061.0;;4295.0;4295.0;218.0;218.0;120103153.0;2024-02-19;;70a5a5c5856c40f79c4f02560c4cfd41;10180.0;2024-02-18T23:00:00.0;2024-02-19T00:00:00.0;2024-02-19T23:00:00.0;2024-02-20T00:00:00.0;86400000.0;;2891.0;3528.0;57241.0;22740.0;True;False;False;False;0.0;1.0;15.24;11.914;5.0;3.90879;150.0;10.0;47.0;122.0;50.0;54.0;GARMIN;19.0;78.0;10920.0;67380.0;6780.0;1140.0;86220.0;8280.0;2520.0;120.0;12.67;78.15;7.86;1.32;9.6;2.92;0.14;CALM;62280.0;22800.0;;47.0;122.0;73.0;50.0;85.0;26.0;50.0;57.0;;2.0;;95.0;88.0;90.0;2024-02-19T22:59:00.0;2024-02-19T23:59:00.0;101.0;;13.0;23.0;9.0;14.0;2024-02-19T23:00:00.0;2.0;private;;;6.316666666666666;;
120103153;;2692.0;317.0;2375.0;2692.0;;;2692.0;7475.0;;6215.0;6215.0;317.0;317.0;120103153.0;2024-02-20;;c22f1a2959024789a54edd5c4aaec316;9670.0;2024-02-19T23:00:00.0;2024-02-20T00:00:00.0;2024-02-20T23:00:00.0;2024-02-21T00:00:00.0;86400000.0;;3227.0;5900.0;55853.0;21420.0;True;False;False;False;0.0;0.0;13.94;12.844;4.57349;4.21391;150.0;10.0;44.0;121.0;47.0;52.0;GARMIN;20.0;90.0;19740.0;46680.0;8820.0;11040.0;86280.0;16380.0;2820.0;540.0;22.88;54.1;10.22;12.8;18.98;3.27;0.63;BALANCED;54960.0;20280.0;;45.0;116.0;47.0;64.0;94.0;33.0;33.0;40.0;;2.0;;95.0;82.0;96.0;2024-02-20T06:14:00.0;2024-02-20T07:14:00.0;103.0;;13.0;21.0;10.0;16.0;2024-02-20T21:06:00.0;2.0;private;;;5.95;;
120103153;;2547.0;172.0;2375.0;2547.0;;;2547.0;5001.0;;4178.0;4178.0;172.0;172.0;120103153.0;2024-02-21;;2ab038d08bd345a3bad556089ad5beaf;9240.0;2024-02-20T23:00:00.0;2024-02-21T00:00:00.0;2024-02-21T23:00:00.0;2024-02-22T00:00:00.0;86400000.0;;2991.0;2080.0;81329.0;0.0;True;False;False;False;0.0;0.0;22.57;16.116;7.40486;5.2874;150.0;10.0;50.0;117.0;55.0;53.0;GARMIN;22.0;85.0;9120.0;24840.0;5280.0;47100.0;86340.0;7800.0;1200.0;120.0;10.56;28.77;6.12;54.55;9.03;1.39;0.14;CALM_AWAKE;39240.0;0.0;;51.0;115.0;3.0;41.0;92.0;54.0;54.0;;;2.0;;;;;;;173.0;;13.0;15.0;9.0;13.0;2024-02-21T18:25:00.0;2.0;private;;;0.0;;
120103153;;2700.0;325.0;2375.0;2700.0;;;2700.0;8579.0;;7093.0;7093.0;325.0;325.0;120103153.0;2024-02-22;;6c28ab0d0f71480ba84821ddc3cfcffc;8400.0;2024-02-21T23:00:00.0;2024-02-22T00:00:00.0;2024-02-22T23:00:00.0;2024-02-23T00:00:00.0;86400000.0;;3242.0;5568.0;77590.0;0.0;True;False;False;False;0.0;0.0;31.285;34.272;10.26411;11.24409;150.0;10.0;48.0;129.0;54.0;53.0;GARMIN;27.0;95.0;18000.0;30360.0;9480.0;28440.0;86280.0;10980.0;5880.0;1140.0;20.86;35.19;10.99;32.96;12.73;6.82;1.32;CALM_AWAKE;57840.0;0.0;;49.0;125.0;6.0;71.0;96.0;31.0;31.0;;;2.0;;95.0;92.0;93.0;2024-02-22T22:56:00.0;2024-02-22T23:56:00.0;338.0;;13.0;19.0;9.0;18.0;2024-02-22T23:00:00.0;2.0;private;;;0.0;;
120103153;;2375.0;0.0;2375.0;2375.0;;;2375.0;;;;;0.0;0.0;120103153.0;2024-02-23;;a268a78055ca47cd9602d5a6a8faaef8;8420.0;2024-02-22T23:00:00.0;2024-02-23T00:00:00.0;2024-02-23T23:00:00.0;2024-02-24T00:00:00.0;86400000.0;;0.0;0.0;86400.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;62.0;72.0;57.0;54.0;GARMIN;26.0;36.0;240.0;360.0;;85800.0;86400.0;240.0;;;0.28;0.42;0.0;99.31;0.28;0.0;0.0;UNKNOWN;600.0;0.0;;62.0;70.0;1.0;0.0;87.0;31.0;31.0;;;2.0;;;;;;;265.0;;17.0;21.0;11.0;19.0;2024-02-23T17:33:00.0;2.0;private;;;0.0;;
120103153;;2702.0;327.0;2375.0;2702.0;;;2702.0;2818.0;;2334.0;2334.0;327.0;327.0;120103153.0;2024-02-24;;e7d9dd11f11546f48a98b56049123fb7;8420.0;2024-02-23T23:00:00.0;2024-02-24T00:00:00.0;2024-02-24T23:00:00.0;2024-02-25T00:00:00.0;86400000.0;;1550.0;4070.0;80780.0;0.0;True;False;False;False;0.0;0.0;0.0;2.11;0.0;0.69226;150.0;10.0;62.0;116.0;57.0;53.0;GARMIN;66.0;98.0;9780.0;780.0;7020.0;68820.0;86400.0;960.0;5460.0;3360.0;11.32;0.9;8.12;79.65;1.11;6.32;3.89;UNKNOWN;17580.0;0.0;;62.0;114.0;0.0;31.0;62.0;20.0;20.0;;;2.0;;94.0;93.0;93.0;2024-02-24T04:30:00.0;2024-02-24T05:30:00.0;259.0;;13.0;20.0;10.0;12.0;2024-02-24T13:48:00.0;2.0;private;;;0.0;;
120103153;;2375.0;0.0;2375.0;2375.0;;;2375.0;;;;;0.0;0.0;120103153.0;2024-02-25;;7d8bf842b3ed4708a54d2a2ec65d75ee;7300.0;2024-02-24T23:00:00.0;2024-02-25T00:00:00.0;2024-02-25T23:00:00.0;2024-02-26T00:00:00.0;86400000.0;;0.0;0.0;86400.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;;;;;GARMIN;-1.0;;;;;86400.0;86400.0;;;;0.0;0.0;0.0;100.0;0.0;0.0;0.0;UNKNOWN;0.0;0.0;;;;;;;;;;;;;;;;;;259.0;;;;;;;2.0;private;;;0.0;;
120103153;;2415.0;40.0;2375.0;2415.0;;;2415.0;987.0;;808.0;808.0;40.0;40.0;120103153.0;2024-02-26;;1fee695ea15c4543a29a8a1a236c8013;7300.0;2024-02-25T23:00:00.0;2024-02-26T00:00:00.0;2024-02-26T23:00:00.0;2024-02-27T00:00:00.0;86400000.0;;225.0;955.0;85220.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;55.0;103.0;58.0;55.0;GARMIN;37.0;92.0;4320.0;3180.0;2700.0;76200.0;86400.0;2580.0;1140.0;600.0;5.0;3.68;3.12;88.19;2.99;1.32;0.69;UNKNOWN;10200.0;0.0;;56.0;102.0;2.0;16.0;35.0;21.0;21.0;;;2.0;;;;;;;258.0;;13.0;17.0;11.0;16.0;2024-02-26T21:31:00.0;2.0;private;;;0.0;;
120103153;;2375.0;0.0;2375.0;2375.0;;;2375.0;;;;;0.0;0.0;120103153.0;2024-02-27;;3596d7e769654a97a9759cfb94e59971;6040.0;2024-02-26T23:00:00.0;2024-02-27T00:00:00.0;2024-02-27T23:00:00.0;2024-02-28T00:00:00.0;86400000.0;;0.0;0.0;86400.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;;;;;GARMIN;-1.0;;;;;86400.0;86400.0;;;;0.0;0.0;0.0;100.0;0.0;0.0;0.0;UNKNOWN;0.0;0.0;;;;;;;;;;;2.0;;;;;;;258.0;;;;;;;2.0;private;;;0.0;;
120103153;;2375.0;0.0;2375.0;2375.0;;;2375.0;;;;;0.0;0.0;120103153.0;2024-02-28;;183a67953bc7435888b4014dadb514cd;6040.0;2024-02-27T23:00:00.0;2024-02-28T00:00:00.0;2024-02-28T23:00:00.0;2024-02-29T00:00:00.0;86400000.0;;0.0;0.0;86400.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;65.0;65.0;;;GARMIN;-1.0;;;;;86400.0;86400.0;;;;0.0;0.0;0.0;100.0;0.0;0.0;0.0;UNKNOWN;0.0;0.0;;65.0;65.0;0.0;0.0;62.0;62.0;62.0;;;2.0;;;;;;;259.0;;13.0;14.0;13.0;13.0;2024-02-28T10:53:00.0;2.0;private;;;0.0;;
